lat,long,date,year,order
41.2714117,-92.0118848,4/16/11,2011,143
42.1065827,-93.5898065,5/22/11,2011,144
42.270126,-91.674771,5/28/11,2011,145
41.966337,-91.1909873,6/9/11,2011,146
41.2055873,-91.3700516,6/10/11,2011,147
41.834648,-91.819823,6/15/11,2011,148
41.876996,-91.470841,7/7/11,2011,149
43.0826109,-91.5668183,7/15/11,2011,150
41.4651246,-95.8287813,7/19/11,2011,151
43.1120756,-94.7651596,9/12/11,2011,152
41.5685449,-92.0231746,10/7/11,2011,153
42.1065827,-93.5898065,11/11/11,2011,154
43.0846442,-91.5691761,12/8/11,2011,155
42.504888,-93.263227,12/16/11,2011,156
42.3051172,-93.2986595,12/20/11,2011,157
41.876996,-91.470841,12/24/11,2011,158
41.620073,-90.648988,1/3/12,2012,159
43.0826109,-91.5668183,1/5/12,2012,160
41.308228,-95.172079,1/28/12,2012,161
42.538728,-92.104784,1/29/12,2012,162
43.0846442,-91.5691761,1/30/12,2012,163
41.308228,-95.172079,2/2/12,2012,164
42.538728,-92.104784,2/6/12,2012,165
41.9194788,-91.4939029,5/31/12,2012,166
42.504888,-93.263227,7/25/12,2012,167
42.538728,-92.104784,8/7/12,2012,168
41.2714117,-92.0118848,8/21/12,2012,169
43.091079,-91.8276998,9/1/12,2012,170
41.2714117,-92.0118848,9/28/12,2012,171
42.6633136,-93.6363036,9/29/12,2012,172
42.538728,-92.104784,10/21/12,2012,173
42.6633136,-93.6363036,10/22/12,2012,174
43.091079,-91.8276998,11/8/12,2012,175
42.504888,-93.263227,11/10/12,2012,176
41.308228,-95.172079,11/17/12,2012,177
41.8911975,-92.0667943,12/8/12,2012,178
43.0826109,-91.5668183,2/22/13,2013,179
41.4651246,-95.8287813,3/14/13,2013,180
41.7019449,-91.4733845,4/6/13,2013,181
42.270126,-91.674771,4/30/13,2013,182
43.0846442,-91.5691761,5/17/13,2013,183
41.8911975,-92.0667943,5/22/13,2013,184
42.1065827,-93.5898065,6/5/13,2013,185
42.0068312,-93.6169016,6/13/13,2013,186
41.3323455,-92.6214516,6/20/13,2013,187
42.2592914,-91.15566,7/11/13,2013,188
41.2269856,-93.926506,7/14/13,2013,189
43.4569006,-92.2801707,7/24/13,2013,190
41.680483,-95.385599,9/26/13,2013,191
41.8296783,-93.9321841,10/17/13,2013,192
41.8296783,-93.9321841,10/25/13,2013,193
41.5618812,-94.8846865,11/2/13,2013,194
43.4569006,-92.2801707,11/4/13,2013,195
42.0068312,-93.6169016,11/17/13,2013,196
42.4171026,-92.6907336,11/28/13,2013,197
43.1120756,-94.7651596,12/4/13,2013,198
43.1120756,-94.7651596,1/20/14,2014,199
41.2269856,-93.926506,1/24/14,2014,200
41.2269856,-93.926506,1/26/14,2014,201
41.3323455,-92.6214516,1/28/14,2014,202
42.1065827,-93.5898065,2/10/14,2014,203
42.1065827,-93.5898065,4/15/14,2014,204
41.6489342,-93.6241635,5/19/14,2014,205
42.538728,-92.104784,5/28/14,2014,206
42.538728,-92.104784,5/30/14,2014,207
41.717025,-92.655796,6/1/14,2014,208
41.7171297,-92.7377208,6/3/14,2014,209
42.6633136,-93.6363036,6/19/14,2014,210
41.9194788,-91.4939029,7/2/14,2014,211
41.717025,-92.655796,7/6/14,2014,212
41.966337,-91.1909873,8/14/14,2014,213
41.2714117,-92.0118848,9/6/14,2014,214
41.714686,-90.692308,9/16/14,2014,215
43.091079,-91.8276998,10/21/14,2014,216
41.620073,-90.648988,11/11/14,2014,217
41.6489342,-93.6241635,11/13/14,2014,218
41.2714117,-92.0118848,12/1/14,2014,219
42.8578865,-93.6168666,12/6/14,2014,220
41.6788427,-95.937132,12/31/14,2014,221
41.308228,-95.172079,1/11/15,2015,222
43.0846442,-91.5691761,1/23/15,2015,223
41.8911975,-92.0667943,2/14/15,2015,224
42.538728,-92.104784,3/12/15,2015,225
42.6633136,-93.6363036,4/10/15,2015,226
41.3323455,-92.6214516,4/11/15,2015,227
42.3051172,-93.2986595,4/22/15,2015,228
41.620073,-90.648988,4/23/15,2015,229
43.0846442,-91.5691761,5/11/15,2015,230
41.308228,-95.172079,5/16/15,2015,231
43.0846442,-91.5691761,5/21/15,2015,232
41.3323455,-92.6214516,8/11/15,2015,233
42.270126,-91.674771,9/2/15,2015,234
43.0826109,-91.5668183,9/24/15,2015,235
41.2269856,-93.926506,11/2/15,2015,236
41.620073,-90.648988,11/13/15,2015,237
42.4464692,-96.252942,11/30/15,2015,238
41.8296783,-93.9321841,12/10/15,2015,239
43.0846442,-91.5691761,1/22/16,2016,240
41.4651246,-95.8287813,2/6/16,2016,241
42.6633136,-93.6363036,2/28/16,2016,242
41.717025,-92.655796,3/7/16,2016,243
41.2055873,-91.3700516,3/9/16,2016,244
41.2714117,-92.0118848,3/27/16,2016,245
41.6788427,-95.937132,4/8/16,2016,246
41.620073,-90.648988,4/11/16,2016,247
41.3323455,-92.6214516,4/25/16,2016,248
41.966337,-91.1909873,5/5/16,2016,249
41.2714117,-92.0118848,5/14/16,2016,250
42.3051172,-93.2986595,6/11/16,2016,251
41.620073,-90.648988,6/18/16,2016,252
43.0846442,-91.5691761,6/28/16,2016,253
41.2055873,-91.3700516,7/7/16,2016,254
41.3323455,-92.6214516,7/9/16,2016,255
42.1065827,-93.5898065,8/15/16,2016,256
42.538728,-92.104784,8/28/16,2016,257
41.834648,-91.819823,10/28/16,2016,258
42.504888,-93.263227,12/31/16,2016,259
41.5685449,-92.0231746,12/31/16,2016,260
43.1120756,-94.7651596,1/7/17,2017,261
41.7171297,-92.7377208,1/27/17,2017,262
42.504888,-93.263227,2/23/17,2017,263
41.620073,-90.648988,3/4/17,2017,264
43.091079,-91.8276998,3/9/17,2017,265
41.7165136,-93.9049066,3/18/17,2017,266
41.4651246,-95.8287813,4/7/17,2017,267
41.2269856,-93.926506,4/25/17,2017,268
41.6489342,-93.6241635,4/27/17,2017,269
41.717025,-92.655796,5/3/17,2017,270
41.2714117,-92.0118848,5/26/17,2017,271
41.6788427,-95.937132,5/31/17,2017,272
43.1120756,-94.7651596,6/8/17,2017,273
41.6489342,-93.6241635,6/11/17,2017,274
41.876996,-91.470841,6/14/17,2017,275
41.9194788,-91.4939029,6/25/17,2017,276
41.620073,-90.648988,6/25/17,2017,277
41.620073,-90.648988,7/20/17,2017,278
42.0068312,-93.6169016,8/17/17,2017,279
41.9194788,-91.4939029,8/28/17,2017,280
41.3323455,-92.6214516,9/4/17,2017,281
42.4464692,-96.252942,9/7/17,2017,282
41.2269856,-93.926506,10/23/17,2017,283
42.4171026,-92.6907336,11/3/17,2017,284
41.8296783,-93.9321841,11/10/17,2017,285
42.1065827,-93.5898065,11/23/17,2017,286
43.0826109,-91.5668183,12/5/17,2017,287
41.714686,-90.692308,12/14/17,2017,288
43.1120756,-94.7651596,12/18/17,2017,289
42.6633136,-93.6363036,12/26/17,2017,290
42.1065827,-93.5898065,1/30/18,2018,291
42.538728,-92.104784,2/2/18,2018,292
41.620073,-90.648988,2/25/18,2018,293
41.8911975,-92.0667943,3/9/18,2018,294
42.504888,-93.263227,3/11/18,2018,295
43.0826109,-91.5668183,3/18/18,2018,296
42.3051172,-93.2986595,3/22/18,2018,297
42.538728,-92.104784,3/29/18,2018,298
41.3323455,-92.6214516,4/11/18,2018,299
42.8911572,-92.3373371,4/15/18,2018,300
41.2714117,-92.0118848,4/19/18,2018,301
41.834648,-91.819823,5/1/18,2018,302
41.9194788,-91.4939029,5/5/18,2018,303
43.0846442,-91.5691761,5/27/18,2018,304
41.2714117,-92.0118848,6/18/18,2018,305
42.8578865,-93.6168666,6/25/18,2018,306
41.308228,-95.172079,7/18/18,2018,307
42.504888,-93.263227,8/12/18,2018,308
41.7019449,-91.4733845,8/17/18,2018,309
42.3051172,-93.2986595,9/4/18,2018,310
42.4171026,-92.6907336,9/29/18,2018,311
41.308228,-95.172079,10/11/18,2018,312
41.8911975,-92.0667943,10/16/18,2018,313
43.1120756,-94.7651596,10/16/18,2018,314
41.2055873,-91.3700516,10/17/18,2018,315
41.3323455,-92.6214516,11/7/18,2018,316
41.5618812,-94.8846865,11/10/18,2018,317
41.5685449,-92.0231746,12/20/18,2018,318
43.0846442,-91.5691761,12/26/18,2018,319
42.0068312,-93.6169016,12/31/18,2018,320
